timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags
1745937245.823228,192.168.1.7,192.168.1.1,UDP,49371,53,101,
1745937245.8252459,192.168.1.7,192.168.1.1,UDP,52809,53,100,
1745937245.825809,192.168.1.7,192.168.1.1,UDP,56359,53,101,
1745937245.826266,192.168.1.7,192.168.1.1,UDP,51553,53,99,
1745937245.8266912,192.168.1.7,192.168.1.1,UDP,50652,53,100,
1745937245.827115,192.168.1.7,192.168.1.1,UDP,59689,53,100,
1745937245.828513,192.168.1.7,192.168.1.1,UDP,54725,53,78,
1745937245.829026,192.168.1.7,192.168.1.1,UDP,65240,53,74,
1745937245.829461,192.168.1.7,192.168.1.1,UDP,64111,53,82,
1745937245.8298528,192.168.1.7,192.168.1.1,UDP,60576,53,73,
1745937245.83022,192.168.1.7,192.168.1.1,UDP,60108,53,92,
1745937245.830579,192.168.1.7,192.168.1.1,UDP,50970,53,69,
1745937245.830942,192.168.1.7,192.168.1.1,UDP,50437,53,84,
1745937245.8315048,192.168.1.7,192.168.1.1,UDP,55552,53,84,
1745937245.838361,192.168.1.1,192.168.1.7,UDP,53,49371,178,
1745937245.839076,192.168.1.1,192.168.1.7,UDP,53,52809,177,
1745937245.841692,192.168.1.7,192.168.1.1,UDP,61721,53,90,
1745937245.842263,192.168.1.7,192.168.1.1,UDP,49824,53,90,
1745937245.8427808,192.168.1.7,192.168.1.1,UDP,56155,53,75,
1745937245.843271,192.168.1.7,192.168.1.1,UDP,53273,53,75,
1745937245.8444102,192.168.1.7,192.168.1.1,UDP,64998,53,79,
1745937245.8448682,192.168.1.7,192.168.1.1,UDP,54945,53,79,
1745937245.8935318,192.168.1.7,192.168.1.1,UDP,57661,53,74,
1745937245.909821,192.168.1.7,192.168.1.1,UDP,54171,53,83,
1745937245.910503,192.168.1.7,192.168.1.1,UDP,60311,53,83,
1745937245.923247,192.168.1.1,192.168.1.7,UDP,53,51553,176,
1745937245.9242492,192.168.1.1,192.168.1.7,UDP,53,56359,178,
1745937245.9272,192.168.1.1,192.168.1.7,UDP,53,50652,177,
1745937245.927982,192.168.1.1,192.168.1.7,UDP,53,65240,90,
1745937245.9300559,192.168.1.7,192.168.1.1,UDP,58505,53,80,
1745937245.930516,192.168.1.7,192.168.1.1,UDP,59939,53,80,
1745937245.9342148,192.168.1.7,192.168.1.1,UDP,56486,53,81,
1745937245.934644,192.168.1.7,192.168.1.1,UDP,53718,53,81,
1745937246.0489159,192.168.1.1,192.168.1.7,UDP,53,64111,314,
1745937246.049547,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.0501099,192.168.1.1,192.168.1.7,UDP,53,59689,177,
1745937246.050505,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.0510201,192.168.1.1,192.168.1.7,UDP,53,54725,154,
1745937246.051413,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.161637,192.168.1.1,192.168.1.7,UDP,53,60576,203,
1745937246.1630862,192.168.1.1,192.168.1.7,UDP,53,60108,323,
