timesp,src_ip,dest_ip,proto,src_port,dest_port,packet_length,labeltam
2025-04-28T20:59:51.627627+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:0806:0000:0000:0000:2002,UDP,54900.0,443.0,,normal
2025-04-28T20:59:51.627634+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,52845.0,53.0,,normal
2025-04-28T20:59:51.627642+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2a03:2880:f12f:0083:face:b00c:0000:25de,UDP,61440.0,443.0,,normal
2025-04-28T20:59:51.627649+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,45423.0,53.0,,normal
2025-04-28T20:59:51.627657+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2a03:2880:f02f:0013:face:b00c:0000:0003,UDP,62310.0,443.0,,normal
2025-04-28T20:59:51.627665+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,64041.0,53.0,,normal
2025-04-28T20:59:51.627672+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,65509.0,53.0,,normal
2025-04-28T20:59:51.627679+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,35233.0,53.0,,normal
2025-04-28T20:59:51.627686+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,36998.0,53.0,,normal
2025-04-28T20:59:51.627693+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,58587.0,53.0,,normal
2025-04-28T20:59:51.627700+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,24687.0,53.0,,normal
2025-04-28T20:59:51.627707+0530,192.168.1.12,142.250.199.166,UDP,49923.0,443.0,,normal
2025-04-28T20:59:51.627714+0530,192.168.1.12,192.168.1.1,UDP,46562.0,53.0,,normal
2025-04-28T20:59:51.627720+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,24770.0,53.0,,normal
2025-04-28T20:59:51.627727+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,63637.0,53.0,,normal
2025-04-28T20:59:51.627734+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4009:080b:0000:0000:0000:201b,UDP,56876.0,443.0,,normal
2025-04-28T20:59:51.627741+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,32576.0,53.0,,normal
2025-04-28T20:59:51.627748+0530,192.168.1.12,192.168.1.1,UDP,40244.0,53.0,,normal
2025-04-28T20:59:51.627755+0530,192.168.1.12,192.168.1.1,UDP,56113.0,53.0,,normal
2025-04-28T20:59:51.627762+0530,192.168.1.12,34.111.194.12,UDP,50526.0,443.0,,normal
2025-04-28T20:59:51.627768+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4009:0823:0000:0000:0000:200e,UDP,53523.0,443.0,,normal
2025-04-28T20:59:51.627775+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,51408.0,53.0,,normal
2025-04-28T20:59:51.627783+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,40793.0,53.0,,normal
2025-04-28T20:59:51.627790+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,26677.0,53.0,,normal
2025-04-28T20:59:51.627797+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,37584.0,53.0,,normal
2025-04-28T20:59:51.627804+0530,192.168.1.12,192.168.1.1,UDP,53331.0,53.0,,normal
2025-04-28T20:59:51.627810+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,32339.0,53.0,,normal
2025-04-28T20:59:51.627817+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,32843.0,53.0,,normal
2025-04-28T20:59:51.627836+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,25696.0,53.0,,normal
2025-04-28T20:59:51.627843+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,22139.0,53.0,,normal
2025-04-28T20:59:51.627850+0530,192.168.1.12,192.168.1.1,UDP,61007.0,53.0,,normal
2025-04-28T20:59:51.627856+0530,192.168.1.12,192.168.1.1,UDP,25323.0,53.0,,normal
