timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags,label
1745843506.259257,17.242.13.5,192.168.1.12,TCP,5223.0,61456.0,66,A,0
1745843507.247749,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843507.250196,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843510.254955,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843510.257397,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843519.272504,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843519.274166,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843519.654757,192.168.1.5,224.0.0.251,2,,,46,,0
1745843520.399532,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843523.075835,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,78,S,0
1745843523.3207848,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,74,SA,0
1745843523.323523,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,66,A,0
1745843523.324391,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,583,PA,0
1745843523.571615,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,66,A,0
1745843523.572177,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,1506,A,0
1745843523.572507,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,1506,A,0
1745843523.572799,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,1282,PA,0
1745843523.573175,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,1506,A,0
1745843523.573571,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,920,PA,0
1745843523.57393,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,66,A,0
1745843523.825119,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,159,PA,0
1745843524.041327,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,117,PA,0
1745843524.046016,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,66,A,0
1745843524.047779,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,497,PA,0
1745843524.058503,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,1474,A,0
1745843524.058874,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,422,PA,0
1745843524.059145,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,78,S,0
1745843524.300493,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,66,A,0
1745843524.30113,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,74,SA,0
1745843524.3026502,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,66,A,0
1745843524.3031,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,583,PA,0
1745843524.307271,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,1506,A,0
1745843524.307609,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,1293,PA,0
1745843524.3095748,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,66,A,0
1745843524.5455291,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,66,A,0
1745843524.571517,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,1506,A,0
1745843524.571908,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,1506,A,0
1745843524.573088,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,1282,PA,0
1745843524.573448,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,1506,A,0
1745843524.573749,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,920,PA,0
1745843524.574027,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,66,A,0
1745843524.9271832,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,78,S,0
1745843524.945101,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,159,PA,0
1745843525.188477,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,117,PA,0
1745843525.189449,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,66,A,0
1745843525.19023,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,497,PA,0
1745843525.190593,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,1474,A,0
1745843525.1909351,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,422,PA,0
1745843525.207604,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,74,SA,0
1745843525.207973,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,A,0
1745843525.2083972,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,583,PA,0
1745843525.43454,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,66,A,0
1745843525.445068,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,1506,A,0
1745843525.445697,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,1292,PA,0
1745843525.446196,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,66,A,0
1745843525.717682,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843525.718318,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843525.71886,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1282,PA,0
1745843525.719955,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,A,0
1745843525.720383,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843525.720822,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843525.7215412,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1143,PA,0
1745843525.721888,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,A,0
1745843525.7303529,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,159,PA,0
1745843526.01372,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,66,A,0
1745843526.041738,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,117,PA,0
1745843526.042485,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,A,0
1745843526.0433412,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,718,PA,0
1745843526.364174,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,66,A,0
1745843526.4177768,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843526.418373,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843526.418888,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843526.419494,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,1506,A,0
1745843526.419957,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,667,PA,0
1745843526.420349,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,A,0
1745843526.424018,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,97,PA,0
